ba_kurz;ba_lang;ba_wis;erh;biod;wa;oek
GFI;Gemeine Fichte;Picea abies;;;;
OFI;Omorikafichte;Picea omorika;;;;
PFI;Stechfichte;Picea pungens;;;;
FIS;Sonstige Fichten;Picea spec.;;;;
GKI;Gemeine Kiefer;Pinus sylvestris;;;;
WKI;Weymouthskiefer;Pinus strobus;;;;
SKI;Schwarzkiefer;Pinus nigra (ssp. nigra);;;;
MKI;Murraykiefer;Pinus contorta;;;;
RKI;Rumelische Kiefer;Pinus peuce;;;;
BKI;Bergkiefer;Pinus mugo;;;;
KIS;Sonstige Kiefern;Pinus spec.;;;;
ELA;Europäische Lärche;Larix decidua;;;;
JLA;Japanische Lärche;Larix kaempferi;;;;
HLA;Hybridlärche;Larix x eurolepis;;;;
LAS;Sonstige Lärchen;Larix spec.;;;;
WTA;Weißtanne;Abies alba;;;;
KTA;Küstentanne;Abies grandis;;;;
CTA;Coloradotanne;Abies concolor;;;;
NTA;Nordmanntanne;Abies nordmanniana;;;;
TAS;Sonstige Tannen;Abies spec.;;;;
DGL;Douglasie;Pseudotsuga spec.;;;;
LEB;Lebensbäume;Thuja spec.;;;;
SZP;Scheinzypressen;Chamaecyparis spec.;;;;
HLO;Hemlockstanne;Tsuga canadensis;;;;
EIB;Eibe;Taxus baccata;;;;
SNA;Sonstige Nadelbaumarten;;;;;
SEI;Stieleiche;Quercus robur;;;;
TEI;Traubeneiche;Quercus petraea;;;;
REI;Roteiche;Quercus rubra;;;;
EIS;Sonstige Eichen;Quercus spec.;;;;
RBU;Rotbuche;Fagus silvatica;;;;
HBU;Hainbuche;Carpinus betulus;;;;
GES;Gemeine Esche;Fraxinus excelsior;;;;
BAH;Bergahorn;Acer pseudoplatanus;;;;
SAH;Spitzahorn;Acer platanoides;;;;
FAH;Feldahorn;Acer campestre;;;;
BUL;Bergulme(-rüster);Ulmus glabra;;;;
FUL;Flatterulme(-rüster);Ulmus laevis;;;;
MUL;Feldulme;Ulmus minor, alternativ ULS – sonstige Ulmen;;;;
ROB;Robinie;Robinia pseudoacacia;2;;;
VKI;Vogelkirsche;Prunus avium (ssp. avium);2;;;
SKB;Spätblühender Traubenkirschenbaum;Prunus serotina;;;;
EKA;Edelkastanie;Castanea sativa;2;;;
ELS;Elsbeere;Sorbus torminalis;2;;;
MBE;Mehlbeere;Sorbus aria;2;;;
SPE;Speierling;Sorbus domestica;2;;;
WBI;Wildbirne;Pyrus pyraster;2;;;
WAP;Wildapfel;Malus sylvestris;2;;;
SHL;Sonstige Hartlaubbaumarten;;1;;;
GBI;Gemeine Birke;Betula pendula;2;;;
MBI;Moorbirke;Betula pubescens;;;;
RER;Roterle (Schwarzerle);Alnus glutinosa;;;;
WER;Weißerle (Grauerle);Alnus incana;;;;
GER;Grünerle;Alnus viridis;;;;
RKA;Rosskastanie;Aesculus hippocastanum;;;;
GEB;Gemeine Eberesche;Sorbus aucuparia;2;;;
WLI;Winterlinde;Tilia cordata;;;;
SLI;Sommerlinde;Tilia platyphyllos;;;;
HAS;Haselstrauch;Corylus avellana;2;;;
PAP;Pappel;Populus spec.;;;;
ASP;Aspe;Populus tremula;;;;
FLB;Faulbaum;Frangula alnus;;;;
SWE;Salweide;Salix caprea;;;;
BWS;Sonstige Baumweiden;Salix spec.;;;;
SWL;Sonstige Weichlaubbaumarten;;;;;
