Merkmal;Beschreibung;Wertung_a;Ausprägung;Wertung;Hinweis
Baumarten;Bitte beurteilen Sie die Wirkung der Baumartengruppe (Laubholz oder Nadelholz) als Faktor für die Biodiversität eines Bestandes. ;;Laubholz;1;Bitte beurteilen Sie die Wirkung der Baumartengruppe (Laubholz oder Nadelholz) als Faktor für die Biodiversität eines Bestandes. 
Baumarten;Bitte beurteilen Sie die Wirkung der Baumartengruppe (Laubholz oder Nadelholz) als Faktor für die Biodiversität eines Bestandes. ;;Nadelholz;1;Bitte beurteilen Sie die Wirkung der Baumartengruppe (Laubholz oder Nadelholz) als Faktor für die Biodiversität eines Bestandes. 
Baumarten;Bitte beurteilen Sie die jeweilige Baumart als dominante Baumart im Bestand hinsichtlich ihres Beitrags zur Biodiversität.;;Eiche;1;Bitte beurteilen Sie die Wirkung der Baumartengruppe (Laubholz oder Nadelholz) als Faktor für die Biodiversität eines Bestandes. 
Baumarten;Bitte beurteilen Sie die jeweilige Baumart als dominante Baumart im Bestand hinsichtlich ihres Beitrags zur Biodiversität.;;Buche;1;Bitte beurteilen Sie die Wirkung der Baumartengruppe (Laubholz oder Nadelholz) als Faktor für die Biodiversität eines Bestandes. 
Baumarten;Bitte beurteilen Sie die jeweilige Baumart als dominante Baumart im Bestand hinsichtlich ihres Beitrags zur Biodiversität.;;Hartlaubholz (außer Buche und Eiche);1;Bitte beurteilen Sie die Wirkung der Baumartengruppe (Laubholz oder Nadelholz) als Faktor für die Biodiversität eines Bestandes. 
Baumarten;Bitte beurteilen Sie die jeweilige Baumart als dominante Baumart im Bestand hinsichtlich ihres Beitrags zur Biodiversität.;;Weichlaubholz;1;Bitte beurteilen Sie die Wirkung der Baumartengruppe (Laubholz oder Nadelholz) als Faktor für die Biodiversität eines Bestandes. 
Baumarten;Bitte beurteilen Sie die jeweilige Baumart als dominante Baumart im Bestand hinsichtlich ihres Beitrags zur Biodiversität.;;Fichte/Tanne;1;Bitte beurteilen Sie die Wirkung der Baumartengruppe (Laubholz oder Nadelholz) als Faktor für die Biodiversität eines Bestandes. 
Baumarten;Bitte beurteilen Sie die jeweilige Baumart als dominante Baumart im Bestand hinsichtlich ihres Beitrags zur Biodiversität.;;Douglasie;1;Bitte beurteilen Sie die Wirkung der Baumartengruppe (Laubholz oder Nadelholz) als Faktor für die Biodiversität eines Bestandes. 
Baumarten;Bitte beurteilen Sie die jeweilige Baumart als dominante Baumart im Bestand hinsichtlich ihres Beitrags zur Biodiversität.;;Kiefer;1;Bitte beurteilen Sie die Wirkung der Baumartengruppe (Laubholz oder Nadelholz) als Faktor für die Biodiversität eines Bestandes. 
Baumarten;Bitte beurteilen Sie die jeweilige Baumart als dominante Baumart im Bestand hinsichtlich ihres Beitrags zur Biodiversität.;;Lärche;1;Bitte beurteilen Sie die Wirkung der Baumartengruppe (Laubholz oder Nadelholz) als Faktor für die Biodiversität eines Bestandes. 
Totholz I;Bitte beurteilen Sie die Menge an Totholz je ha hinsichtlich ihres Beitrags zur Biodiversität.;;Menge je ha - unter 5 Rm;2;Bitte beurteilen Sie die Menge an Totholz je ha hinsichtlich ihres Beitrags zur Biodiversität.
Totholz I;Bitte beurteilen Sie die Menge an Totholz je ha hinsichtlich ihres Beitrags zur Biodiversität.;;Menge je ha  - 5 bis 20 Rm;2;Bitte beurteilen Sie die Menge an Totholz je ha hinsichtlich ihres Beitrags zur Biodiversität.
Totholz I;Bitte beurteilen Sie die Menge an Totholz je ha hinsichtlich ihres Beitrags zur Biodiversität.;;Menge je ha  - 21 bis 40 Rm;2;Bitte beurteilen Sie die Menge an Totholz je ha hinsichtlich ihres Beitrags zur Biodiversität.
Totholz I;Bitte beurteilen Sie die Menge an Totholz je ha hinsichtlich ihres Beitrags zur Biodiversität.;;Menge je ha  - 41 bis 60 Rm;2;Bitte beurteilen Sie die Menge an Totholz je ha hinsichtlich ihres Beitrags zur Biodiversität.
Totholz I;Bitte beurteilen Sie die Menge an Totholz je ha hinsichtlich ihres Beitrags zur Biodiversität.;;Menge je ha  - 61 bis 80 Rm;2;Bitte beurteilen Sie die Menge an Totholz je ha hinsichtlich ihres Beitrags zur Biodiversität.
Totholz I;Bitte beurteilen Sie die Menge an Totholz je ha hinsichtlich ihres Beitrags zur Biodiversität.;;Menge je ha - über 80 Rm;2;Bitte beurteilen Sie die Menge an Totholz je ha hinsichtlich ihres Beitrags zur Biodiversität.
Totholz II;Bitte beurteilen Sie den Zersetzungsgrad des Totholzes bezüglich seines Einflusses auf die Biodiversität.;;Zersetzungsgrad - niedriger Zersetzungsgrad;3;Bitte beurteilen Sie den Zersetzungsgrad des Totholzes bezüglich seines Einflusses auf die Biodiversität.
Totholz II;Bitte beurteilen Sie den Zersetzungsgrad des Totholzes bezüglich seines Einflusses auf die Biodiversität.;;Zersetzungsgrad - überwiegend niedriger Zersetzungsgrad;3;Bitte beurteilen Sie den Zersetzungsgrad des Totholzes bezüglich seines Einflusses auf die Biodiversität.
Totholz II;Bitte beurteilen Sie den Zersetzungsgrad des Totholzes bezüglich seines Einflusses auf die Biodiversität.;;Zersetzungsgrad -überwiegend hoher Zersetzungsgrad;3;Bitte beurteilen Sie den Zersetzungsgrad des Totholzes bezüglich seines Einflusses auf die Biodiversität.
Totholz II;Bitte beurteilen Sie den Zersetzungsgrad des Totholzes bezüglich seines Einflusses auf die Biodiversität.;;Zersetzungsgrad -hoher Zersetzungsgrad;3;Bitte beurteilen Sie den Zersetzungsgrad des Totholzes bezüglich seines Einflusses auf die Biodiversität.
Totholz III;Bitte beurteilen Sie die Lagerung des Totholzes bezüglich seines Einflusses auf die Biodiversität.;;Lagerung - liegend;4;Bitte beurteilen Sie die Arte des Totholzes hinsichtlich seines Einflusses auf die Biodiversität.
Totholz III;Bitte beurteilen Sie die Lagerung des Totholzes bezüglich seines Einflusses auf die Biodiversität.;;Lagerung - überwiegend liegend;4;Bitte beurteilen Sie die Arte des Totholzes hinsichtlich seines Einflusses auf die Biodiversität.
Totholz III;Bitte beurteilen Sie die Lagerung des Totholzes bezüglich seines Einflusses auf die Biodiversität.;;Lagerung - stehend;4;Bitte beurteilen Sie die Arte des Totholzes hinsichtlich seines Einflusses auf die Biodiversität.
Totholz III;Bitte beurteilen Sie die Lagerung des Totholzes bezüglich seines Einflusses auf die Biodiversität.;;Lagerung - überwiegend stehend;4;Bitte beurteilen Sie die Arte des Totholzes hinsichtlich seines Einflusses auf die Biodiversität.
Totholz IV;Bitte beurteilen Sie die Art des Totholzes hinsichtlich seines Einflusses auf die Biodiversität.;;Art - Nadelholz;5;Bitte beurteilen Sie die Art des Totholzes hinsichtlich seines Einflusses auf die Biodiversität.
Totholz IV;Bitte beurteilen Sie die Art des Totholzes hinsichtlich seines Einflusses auf die Biodiversität.;;Art - überwiegend Nadelholz;5;Bitte beurteilen Sie die Art des Totholzes hinsichtlich seines Einflusses auf die Biodiversität.
Totholz IV;Bitte beurteilen Sie die Art des Totholzes hinsichtlich seines Einflusses auf die Biodiversität.;;Art - Laubholz;5;Bitte beurteilen Sie die Art des Totholzes hinsichtlich seines Einflusses auf die Biodiversität.
Totholz IV;Bitte beurteilen Sie die Art des Totholzes hinsichtlich seines Einflusses auf die Biodiversität.;;Art - überwiegend Laubholz;5;Bitte beurteilen Sie die Art des Totholzes hinsichtlich seines Einflusses auf die Biodiversität.
Totholz V;Bitte beurteilen Sie die Totholzdiversität auf Betriebsebene hinsichtlich ihres Einflusses auf die Biodiversität.;;Totholzdiversität auf Betriebsebene - niedrig;6;Bitte beurteilen Sie die Totholzdiversität auf Betriebsebene hinsichtlich ihres Einflusses auf die Biodiversität.
Totholz V;Bitte beurteilen Sie die Totholzdiversität auf Betriebsebene hinsichtlich ihres Einflusses auf die Biodiversität.;;Totholzdiversität auf Betriebsebene - mittel;6;Bitte beurteilen Sie die Totholzdiversität auf Betriebsebene hinsichtlich ihres Einflusses auf die Biodiversität.
Totholz V;Bitte beurteilen Sie die Totholzdiversität auf Betriebsebene hinsichtlich ihres Einflusses auf die Biodiversität.;;Totholzdiversität auf Betriebsebene - hoch;6;Bitte beurteilen Sie die Totholzdiversität auf Betriebsebene hinsichtlich ihres Einflusses auf die Biodiversität.
