Merkmal;Auspraegung;Beschreibung;Wertung_a;Wertung;Hinweis;erge;erg;unk
Baumarten I;Laubholz;Bitte beurteilen Sie die Wirkung der Baumartengruppe (Laubholz oder Nadelholz) als Faktor für die Biodiversität eines Bestandes. ;;1;Bitte beurteilen Sie die Wirkung der Baumartengruppe (Laubholz oder Nadelholz) als Faktor für die Biodiversität eines Bestandes. ;;1,5;0
Baumarten I;Nadelholz;Bitte beurteilen Sie die Wirkung der Baumartengruppe (Laubholz oder Nadelholz) als Faktor für die Biodiversität eines Bestandes. ;;1;Bitte beurteilen Sie die Wirkung der Baumartengruppe (Laubholz oder Nadelholz) als Faktor für die Biodiversität eines Bestandes. ;;-1;0
Baumarten II;Eiche;Bitte beurteilen Sie die jeweilige Baumart als dominante Baumart /Baumartengruppe im Bestand hinsichtlich ihres Beitrags zur Biodiversität.;;2;Bitte beurteilen Sie die Wirkung der Baumartengruppe (Laubholz oder Nadelholz) als Faktor für die Biodiversität eines Bestandes. ;;0,5;0
Baumarten II;Buche;Bitte beurteilen Sie die jeweilige Baumart als dominante Baumart /Baumartengruppe im Bestand hinsichtlich ihres Beitrags zur Biodiversität.;;2;Bitte beurteilen Sie die Wirkung der Baumartengruppe (Laubholz oder Nadelholz) als Faktor für die Biodiversität eines Bestandes. ;;-2;0
Baumarten II;Hartlaubholz (außer Buche und Eiche);Bitte beurteilen Sie die jeweilige Baumart als dominante Baumart /Baumartengruppe im Bestand hinsichtlich ihres Beitrags zur Biodiversität.;;2;Bitte beurteilen Sie die Wirkung der Baumartengruppe (Laubholz oder Nadelholz) als Faktor für die Biodiversität eines Bestandes. ;;2;0
Baumarten II;Weichlaubholz;Bitte beurteilen Sie die jeweilige Baumart als dominante Baumart /Baumartengruppe im Bestand hinsichtlich ihres Beitrags zur Biodiversität.;;2;Bitte beurteilen Sie die Wirkung der Baumartengruppe (Laubholz oder Nadelholz) als Faktor für die Biodiversität eines Bestandes. ;;-1;0
Baumarten II;Fichte/Tanne;Bitte beurteilen Sie die jeweilige Baumart als dominante Baumart /Baumartengruppe im Bestand hinsichtlich ihres Beitrags zur Biodiversität.;;2;Bitte beurteilen Sie die Wirkung der Baumartengruppe (Laubholz oder Nadelholz) als Faktor für die Biodiversität eines Bestandes. ;;1;0
Baumarten II;Douglasie;Bitte beurteilen Sie die jeweilige Baumart als dominante Baumart /Baumartengruppe im Bestand hinsichtlich ihres Beitrags zur Biodiversität.;;2;Bitte beurteilen Sie die Wirkung der Baumartengruppe (Laubholz oder Nadelholz) als Faktor für die Biodiversität eines Bestandes. ;;0;0
Baumarten II;Kiefer;Bitte beurteilen Sie die jeweilige Baumart als dominante Baumart /Baumartengruppe im Bestand hinsichtlich ihres Beitrags zur Biodiversität.;;2;Bitte beurteilen Sie die Wirkung der Baumartengruppe (Laubholz oder Nadelholz) als Faktor für die Biodiversität eines Bestandes. ;;-1;0
Baumarten II;Lärche;Bitte beurteilen Sie die jeweilige Baumart als dominante Baumart /Baumartengruppe im Bestand hinsichtlich ihres Beitrags zur Biodiversität.;;2;Bitte beurteilen Sie die Wirkung der Baumartengruppe (Laubholz oder Nadelholz) als Faktor für die Biodiversität eines Bestandes. ;;2;0
Baumartenmischung;Reinbestand;Bitte beurteilen Sie die Wirkung der  Mischungsart auf die Biodiversität eines Bestandes.;;9;Bitte beurteilen Sie die Wirkung der Mischungsart auf die Biodiversität eines Bestandes.;;1;0
Baumartenmischung;Mischbestand;Bitte beurteilen Sie die Wirkung der  Mischungsart auf die Biodiversität eines Bestandes.;;9;Bitte beurteilen Sie die Wirkung der Mischungsart auf die Biodiversität eines Bestandes.;;-1;1
Begleitvegetation;Deckungsgrad krautige Pflanzen - bis 25%;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;;11;Bitte beurteilen Sie die Wirkung der Bodenvegetation auf die Biodiversität eines Bestandes.;;-2;1
Begleitvegetation;Deckungsgrad krautige Pflanzen - über 25% bis 50%;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;;11;Bitte beurteilen Sie die Wirkung der Bodenvegetation auf die Biodiversität eines Bestandes.;;-1;0
Begleitvegetation;Deckungsgrad krautige Pflanzen - über 50% bis 75%;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;;11;Bitte beurteilen Sie die Wirkung der Bodenvegetation auf die Biodiversität eines Bestandes.;;-1;1
Begleitvegetation;Deckungsgrad krautige Pflanzen - über 75%;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;;11;Bitte beurteilen Sie die Wirkung der Bodenvegetation auf die Biodiversität eines Bestandes.;;-1;0
Begleitvegetation;Deckungsgrad Gräser - bis 25%;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;;11;Bitte beurteilen Sie die Wirkung der Bodenvegetation auf die Biodiversität eines Bestandes.;;1;1
