Merkmal;Auspraegung;Beschreibung;erge;unk;Kommentar
Baumarten I;Laubholz;Bitte beurteilen Sie die Wirkung der Baumartengruppe (Laubholz oder Nadelholz) als Faktor für die Biodiversität eines Bestandes. ;1,5;0;
Baumarten I;Nadelholz;Bitte beurteilen Sie die Wirkung der Baumartengruppe (Laubholz oder Nadelholz) als Faktor für die Biodiversität eines Bestandes. ;-1;0;
Baumarten II;Buche;Bitte beurteilen Sie die jeweilige Baumart als dominante Baumart /Baumartengruppe im Bestand hinsichtlich ihres Beitrags zur Biodiversität.;0,5;0;"Wenig spezialisierte Arten an Buche; NA"
Baumarten II;Douglasie;Bitte beurteilen Sie die jeweilige Baumart als dominante Baumart /Baumartengruppe im Bestand hinsichtlich ihres Beitrags zur Biodiversität.;-1;0;NA
Baumarten II;Eiche;Bitte beurteilen Sie die jeweilige Baumart als dominante Baumart /Baumartengruppe im Bestand hinsichtlich ihres Beitrags zur Biodiversität.;2;0;NA
Baumarten II;Fichte/Tanne;Bitte beurteilen Sie die jeweilige Baumart als dominante Baumart /Baumartengruppe im Bestand hinsichtlich ihres Beitrags zur Biodiversität.;-2;0;"Tanne günstiger; NA"
Baumarten II;Hartlaubholz (außer Buche und Eiche);Bitte beurteilen Sie die jeweilige Baumart als dominante Baumart /Baumartengruppe im Bestand hinsichtlich ihres Beitrags zur Biodiversität.;1;0;NA
Baumarten II;Kiefer;Bitte beurteilen Sie die jeweilige Baumart als dominante Baumart /Baumartengruppe im Bestand hinsichtlich ihres Beitrags zur Biodiversität.;0;0;NA
Baumarten II;Lärche;Bitte beurteilen Sie die jeweilige Baumart als dominante Baumart /Baumartengruppe im Bestand hinsichtlich ihres Beitrags zur Biodiversität.;-1,5;0;"Erschwerter Zugang für Xylos zum Holz, weil sehr harzreich. Zudem schwer zersetzbare Streu.; NA"
Baumarten II;Weichlaubholz;Bitte beurteilen Sie die jeweilige Baumart als dominante Baumart /Baumartengruppe im Bestand hinsichtlich ihres Beitrags zur Biodiversität.;2;0;NA
Baumartenmischung;Mischbestand;Bitte beurteilen Sie die Wirkung der  Mischungsart auf die Biodiversität eines Bestandes.;1;0;NA
Baumartenmischung;Reinbestand;Bitte beurteilen Sie die Wirkung der  Mischungsart auf die Biodiversität eines Bestandes.;-0,5;0;NA
Begleitvegetation;Deckungsgrad Adlerfarn - bis 25%;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;-2;0;NA
Begleitvegetation;Deckungsgrad Adlerfarn - über 25% bis 50 %;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;-2;0;NA
Begleitvegetation;Deckungsgrad Adlerfarn - über 50% bis 75%;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;-1,5;0;NA
