"as.factor(Merkmal)";"Median_Wertung";"NA_Count";"Kommentar";"Auspraegung"
"Baumarten II";2;0;"die Wirkung ist umso größer, je näher die blühenden Bäume an den Waldwegen sind. Blühaspekte im Gegenhang sind optisch sehr reizvoll.; NA";"Auffällig blühende Laubbaumarten, z. B. Kirschen."
"Baumarten II";2;0;"die Wirkung ist umso größer, je näher die blühenden Bäume an den Waldwegen sind. Auffällige Laubfärbungen im Gegenhang sind optisch sehr reizvoll.; NA";"Auffällige Laubbaumarten durch Herbstfärbung, z. B. Roteichen."
"Baumarten II";1,5;0;"sehr wichtiger Aspekt, der auch den Erholungswert abseits der Waldwege fördert.; NA";"Auffällige Laubbaumarten durch kulturellen Aspekt, z. B. sammelbare Früchte."
"Baumarten II";1;0;"die Wirkung ist umso größer, je näher die blühenden Bäume an den Waldwegen sind. Auffällige Laubfärbungen im Gegenhang sind optisch sehr reizvoll.; NA";"Auffällige Nadelbaumarten, z. B. Lärchen durch Herbstfärbung."
"Besondere Einzelbäume";2;0;"NA";"Besondere Einzelbäume, die im Abstand von 100m  vorzufinden sind."
"Besondere Einzelbäume";1,5;0;"NA";"Besondere Einzelbäume, die im Abstand von 200m  vorzufinden sind."
"Besondere Einzelbäume";1;0;"NA";"Besondere Einzelbäume, die im Abstand von 300m  vorzufinden sind."
"Besondere Einzelbäume";1;0;"NA";"Besondere Einzelbäume, die im Abstand von 400m  vorzufinden sind."
"Besondere Einzelbäume";1;0;"NA";"Besondere Einzelbäume, die im Abstand von 500m  vorzufinden sind."
"Baumartenmischung: Mischungsform II";1;0;"NA";"Bestand mit Laubbaumarten  mit einzeln beigemischten Nadelbäumen."
"Baumartenmischung: Mischungsform II";1;0;"NA";"Bestand mit Laubbaumarten  mit flächig eingemischten Nadelbäumen."
"Baumartenmischung: Mischungsform II";1;0;"NA";"Bestand mit Nadelbaumarten mit einzeln beigemischten auffälligen Laubbäumen (z.B. Birken)."
"Baumartenmischung: Mischungsform II";1;0;"NA";"Bestand mit Nadelbaumarten mit einzeln beigemischten Laubbäumen."
"Baumartenmischung: Mischungsform II";1;1;"NA";"Bestand mit Nadelbaumarten mit flächig eingemischten auffälligen Laubbäumen (z.B. Birken)."
"Baumartenmischung: Mischungsform II";1;1;"NA";"Bestand mit Nadelbaumarten mit flächig eingemischten Laubbäumen."
"Begleitvegetation";1;0;"NA";"Deckungsgrad Adlerfarn - bis 25%"
"Begleitvegetation";-0,5;0;"NA";"Deckungsgrad Adlerfarn - über 25% bis 50 %"
"Begleitvegetation";0,5;0;"NA";"Deckungsgrad Adlerfarn - über 50% bis 75%"
"Begleitvegetation";-0,5;0;"NA";"Deckungsgrad Adlerfarn - über 75%"
"Begleitvegetation";1;0;"NA";"Deckungsgrad auff. blühende krautige Pflanzen - bis 25%"
"Begleitvegetation";1;0;"NA";"Deckungsgrad auff. blühende krautige Pflanzen - über 25% bis 50%"
"Begleitvegetation";1;0;"NA";"Deckungsgrad auff. blühende krautige Pflanzen - über 50% bis 75%"
"Begleitvegetation";0,5;0;"hier ist allerdings fraglich, ob noch von Wald im eigentlichen Sinne auszugehen ist.; NA";"Deckungsgrad auff. blühende krautige Pflanzen - über 75%"
"Begleitvegetation";1;0;"NA";"Deckungsgrad Brombeere - bis 25%"
"Begleitvegetation";-0,5;0;"NA";"Deckungsgrad Brombeere - über 25% bis 50 %"
"Begleitvegetation";-2;0;"NA";"Deckungsgrad Brombeere - über 50% bis 75%"
"Begleitvegetation";-1,5;0;"NA";"Deckungsgrad Brombeere - über 75%"
"Begleitvegetation";-2;0;"NA";"Deckungsgrad Gräser- über 75%"
"Begleitvegetation";1;0;"NA";"Deckungsgrad Gräser - bis 25%"
"Begleitvegetation";0,5;0;"NA";"Deckungsgrad Gräser - über 25% bis 50 %"
"Begleitvegetation";-1;0;"NA";"Deckungsgrad Gräser - über 50% bis 75%"
"Begleitvegetation";1;0;"NA";"Deckungsgrad Zwergsträucher- über 25% bis 50 %"
"Begleitvegetation";1;0;"NA";"Deckungsgrad Zwergsträucher- über 50% bis 75%"
"Begleitvegetation";1;0;"NA";"Deckungsgrad Zwergsträucher - bis 25%"
"Begleitvegetation";0;0;"NA";"Deckungsgrad Zwergsträucher - über 75%"
"Baumartenmischung: Mischungsform III";0;1;"NA";"Eine Hauptbaumart mit einer Mischbaumart."
"Baumartenmischung: Mischungsform III";1;0;"NA";"Eine Hauptbaumart mit mehr als zwei Mischbaumarten."
"Baumartenmischung: Mischungsform III";1;0;"NA";"Eine Hauptbaumart mit zwei Mischbaumarten."
"Bestandesschichtung";-1;0;"NA";"einschichtig"
"Waldinnenrand";-0,5;0;"NA";"kein Waldinnenrand"
"Waldinnenrand";1;0;"NA";"Krautsaum und Strauchgürtel mit regelmäßigen Lücken"
"Waldinnenrand";-0,5;0;"NA";"Krautsaum und Strauchgürtel ohne Lücken"
"Bestandesschichtung";1;0;"NA";"mehrschichtig"
"Baumartenmischung: Mischungsart";1;0;"NA";"Mischbestand"
"Baumartenmischung: Mischungsform I";1;0;"NA";"Mischungsform:  gruppenweise"
"Baumartenmischung: Mischungsform I";0,5;0;"hier ist die Mischung ggf. kaum noch wahrnehmbar; NA";"Mischungsform:  horstweise"
"Baumartenmischung: Mischungsform I";0;0;"diese Mischungsform wird wenig natürlich. Dies kann entweder positiv oder negativ aufgenommen werden; NA";"Mischungsform:  reihen- oder streifenweise"
"Baumartenmischung: Mischungsform I";0,5;0;"NA";"Mischungsform: baumweise"
"Baumartenmischung: Mischungsform I";1;1;"NA";"Mischungsform: truppweise"
"Bestandesschichtung";1;0;"NA";"plenterartig"
"Baumartenmischung: Mischungsart";0;0;"das einheitliche Erscheinungsbild kann positiv (hohes Maß an Ordnung) wie negativ (Monotonie) wahrgenommen werden; NA";"Reinbestand"
