Merkmal;Beschreibung;Wertung_a;Ausprägung;Wertung;Hinweis
Baumartenmischung: Mischungsart;Mischung von mehreren Baumarten in einem Bestand mit nennenswerten Anteilen. ;;Reinbestand;1;Auf der folgenden Seite wird Mischung noch detaillierter abgefragt.
Baumartenmischung: Mischungsart;Mischung von mehreren Baumarten in einem Bestand mit nennenswerten Anteilen. ;;Mischbestand;1;Auf der folgenden Seite wird Mischung noch detaillierter abgefragt.
Baumartenmischung: Mischungsform I;Form der Einmischung - baumartenbezogene Mischung von Mischbaumarten in Relation zur Hauptbaumart.;;Mischungsform: baumweise;2;Auf der folgenden Seite  wird Mischung noch nach Baumartengruppen gegliedert abgefragt.
Baumartenmischung: Mischungsform I;Form der Einmischung - baumartenbezogene Mischung von Mischbaumarten in Relation zur Hauptbaumart.;;Mischungsform: truppweise;2;Auf der folgenden Seite  wird Mischung noch nach Baumartengruppen gegliedert abgefragt.
Baumartenmischung: Mischungsform I;Form der Einmischung - baumartenbezogene Mischung von Mischbaumarten in Relation zur Hauptbaumart.;;Mischungsform:  gruppenweise;2;Auf der folgenden Seite  wird Mischung noch nach Baumartengruppen gegliedert abgefragt.
Baumartenmischung: Mischungsform I;Form der Einmischung - baumartenbezogene Mischung von Mischbaumarten in Relation zur Hauptbaumart.;;Mischungsform:  horstweise;2;Auf der folgenden Seite  wird Mischung noch nach Baumartengruppen gegliedert abgefragt.
Baumartenmischung: Mischungsform I;Form der Einmischung - baumartenbezogene Mischung von Mischbaumarten in Relation zur Hauptbaumart.;;Mischungsform:  reihen- oder streifenweise;2;Auf der folgenden Seite  wird Mischung noch nach Baumartengruppen gegliedert abgefragt.
Baumartenmischung: Mischungsform II;Form der Einmischung - Mischung von Baumartengruppen.;;Nadelholzbestand mit einzeln eingemischten Laubbäumen.;3;Nutzen Sie gerne die Anmerkungen, um beispielhafte Baumartenkombinationen zu beschreiben.
Baumartenmischung: Mischungsform II;Form der Einmischung - Mischung von Baumartengruppen.;;Nadelholzbestand mit einzeln eingemischten auffälligen Laubbäumen (z.B. Birken).;3;Nutzen Sie gerne die Anmerkungen, um beispielhafte Baumartenkombinationen zu beschreiben.
Baumartenmischung: Mischungsform II;Form der Einmischung - Mischung von Baumartengruppen.;;Nadelholzbestand mit flächig eingemischten Laubbäumen.;3;Nutzen Sie gerne die Anmerkungen, um beispielhafte Baumartenkombinationen zu beschreiben.
