;Auspraegung;Merkmal;Beschreibung;Wertung_a;Wertung;Hinweis;erge;erg;unk
1;Auffällig blühende Laubbaumarten, z. B. Kirschen.;Baumarten II;Gruppen von Baumarten, die aufgrund unterschiedlicher Eigenschaften besonders auffällig sind, bzw. zu Aktivitäten anregen.;NA;7;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Baumarten hervorzuheben.;2;"Sind nur kurzfristige Effekte während der Blühphase gemeint? - Ja
";0
2;Auffällige Laubbaumarten durch Herbstfärbung, z. B. Roteichen.;Baumarten II;Gruppen von Baumarten, die aufgrund unterschiedlicher Eigenschaften besonders auffällig sind, bzw. zu Aktivitäten anregen.;NA;7;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Baumarten hervorzuheben.;2;keine;0
3;Auffällige Laubbaumarten durch kulturellen Aspekt, z. B. sammelbare Früchte.;Baumarten II;Gruppen von Baumarten, die aufgrund unterschiedlicher Eigenschaften besonders auffällig sind, bzw. zu Aktivitäten anregen.;NA;7;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Baumarten hervorzuheben.;1;keine;0
4;Auffällige Nadelbaumarten, z. B. Lärchen durch Herbstfärbung.;Baumarten II;Gruppen von Baumarten, die aufgrund unterschiedlicher Eigenschaften besonders auffällig sind, bzw. zu Aktivitäten anregen.;NA;7;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Baumarten hervorzuheben.;1;keine;0
5;Besondere Einzelbäume, die im Abstand von 100m  vorzufinden sind.;Besondere Einzelbäume;Im Bestand besonders auffällig wirkend, z.B. aufgrund des Alters, der Größe oder Form. ;NA;10;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Aspekte besonderer Einzelbäume hervorzuheben.;2;keine;0
6;Besondere Einzelbäume, die im Abstand von 200m  vorzufinden sind.;Besondere Einzelbäume;Im Bestand besonders auffällig wirkend, z.B. aufgrund des Alters, der Größe oder Form. ;NA;10;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Aspekte besonderer Einzelbäume hervorzuheben.;1;keine;0
7;Besondere Einzelbäume, die im Abstand von 300m  vorzufinden sind.;Besondere Einzelbäume;Im Bestand besonders auffällig wirkend, z.B. aufgrund des Alters, der Größe oder Form. ;NA;10;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Aspekte besonderer Einzelbäume hervorzuheben.;1;keine;0
8;Besondere Einzelbäume, die im Abstand von 400m  vorzufinden sind.;Besondere Einzelbäume;Im Bestand besonders auffällig wirkend, z.B. aufgrund des Alters, der Größe oder Form. ;NA;10;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Aspekte besonderer Einzelbäume hervorzuheben.;1;keine;0
9;Besondere Einzelbäume, die im Abstand von 500m  vorzufinden sind.;Besondere Einzelbäume;Im Bestand besonders auffällig wirkend, z.B. aufgrund des Alters, der Größe oder Form. ;NA;10;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Aspekte besonderer Einzelbäume hervorzuheben.;1;keine;0
10;Bestand mit Laubbaumarten  mit einzeln beigemischten Nadelbäumen.;Baumartenmischung: Mischungsform II;Form der Mischung - Mischung von Baumartengruppen.;NA;3;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um beispielhafte Baumartenkombinationen zu beschreiben.;1;keine;0
11;Bestand mit Laubbaumarten  mit flächig eingemischten Nadelbäumen.;Baumartenmischung: Mischungsform II;Form der Mischung - Mischung von Baumartengruppen.;NA;3;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um beispielhafte Baumartenkombinationen zu beschreiben.;1;keine;0
12;Bestand mit Nadelbaumarten mit einzeln beigemischten auffälligen Laubbäumen (z.B. Birken).;Baumartenmischung: Mischungsform II;Form der Mischung - Mischung von Baumartengruppen.;NA;3;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um beispielhafte Baumartenkombinationen zu beschreiben.;1;keine;1
13;Bestand mit Nadelbaumarten mit einzeln beigemischten Laubbäumen.;Baumartenmischung: Mischungsform II;Form der Mischung - Mischung von Baumartengruppen.;NA;3;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um beispielhafte Baumartenkombinationen zu beschreiben.;1;keine;1
14;Bestand mit Nadelbaumarten mit flächig eingemischten auffälligen Laubbäumen (z.B. Birken).;Baumartenmischung: Mischungsform II;Form der Mischung - Mischung von Baumartengruppen.;NA;3;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um beispielhafte Baumartenkombinationen zu beschreiben.;1;keine;0
15;Bestand mit Nadelbaumarten mit flächig eingemischten Laubbäumen.;Baumartenmischung: Mischungsform II;Form der Mischung - Mischung von Baumartengruppen.;NA;3;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um beispielhafte Baumartenkombinationen zu beschreiben.;1;keine;0
16;Deckungsgrad Adlerfarn - bis 25%;Begleitvegetation;Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ;NA;9;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.;1;keine;1
17;Deckungsgrad Adlerfarn - über 25% bis 50 %;Begleitvegetation;Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ;NA;9;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.;0;keine;1
18;Deckungsgrad Adlerfarn - über 50% bis 75%;Begleitvegetation;Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ;NA;9;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.;-1;keine;1
19;Deckungsgrad Adlerfarn - über 75%;Begleitvegetation;Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ;NA;9;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.;-1;keine;1
