"";"Auspraegung";"Merkmal";"Beschreibung";"Wertung_a";"Wertung";"Hinweis";"erge";"erg";"NA";"as.factor(Merkmal)";"Median_Wertung";"NA_Count"
"1";NA;"Baumarten I";"Laubbaumarten";"Baumarten in einem Bestand, es ist z. B. relevant, ob überwiegend Fichten oder überwiegend Buchen vorkommen.";6;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Auf der folgenden Seite werden Baumartengruppen detaillierter beschrieben. Nutzen Sie gerne die Anmerkungen.";1;"keine";0;NA;NA;NA
"2";NA;"Baumarten I";"Nadelbaumarten";"Baumarten in einem Bestand, es ist z. B. relevant, ob überwiegend Fichten oder überwiegend Buchen vorkommen.";6;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Auf der folgenden Seite werden Baumartengruppen detaillierter beschrieben. Nutzen Sie gerne die Anmerkungen.";1;"keine";0;NA;NA;NA
"3";NA;"Baumarten II";"Auffällig blühende Laubbaumarten, z. B. Kirschen.";"Gruppen von Baumarten, die aufgrund unterschiedlicher Eigenschaften besonders auffällig sind, bzw. zu Aktivitäten anregen.";7;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Baumarten hervorzuheben.";2;"Sind nur kurzfristige Effekte während der Blühphase gemeint? - Ja
";0;NA;NA;NA
"4";NA;"Baumarten II";"Auffällige Laubbaumarten durch Herbstfärbung, z. B. Roteichen.";"Gruppen von Baumarten, die aufgrund unterschiedlicher Eigenschaften besonders auffällig sind, bzw. zu Aktivitäten anregen.";7;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Baumarten hervorzuheben.";2;"keine";0;NA;NA;NA
"5";NA;"Baumarten II";"Auffällige Laubbaumarten durch kulturellen Aspekt, z. B. sammelbare Früchte.";"Gruppen von Baumarten, die aufgrund unterschiedlicher Eigenschaften besonders auffällig sind, bzw. zu Aktivitäten anregen.";7;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Baumarten hervorzuheben.";1;"keine";0;NA;NA;NA
"6";NA;"Baumarten II";"Auffällige Nadelbaumarten, z. B. Lärchen durch Herbstfärbung.";"Gruppen von Baumarten, die aufgrund unterschiedlicher Eigenschaften besonders auffällig sind, bzw. zu Aktivitäten anregen.";7;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Baumarten hervorzuheben.";1;"keine";0;NA;NA;NA
"7";NA;"Baumartenmischung: Mischungsart";"Mischbestand";"Mischung von mehreren Baumarten in einem Bestand mit nennenswerten Anteilen. ";1;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Auf der folgenden Seite wird Mischung noch detaillierter abgefragt.";1;"keine";0;NA;NA;NA
"8";NA;"Baumartenmischung: Mischungsart";"Reinbestand";"Mischung von mehreren Baumarten in einem Bestand mit nennenswerten Anteilen. ";1;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Auf der folgenden Seite wird Mischung noch detaillierter abgefragt.";0;"keine";1;NA;NA;NA
"9";NA;"Baumartenmischung: Mischungsform I";"Mischungsform:  gruppenweise";"Form der Mischung - baumartenbezogene Mischung von Mischbaumarten in Relation zur Hauptbaumart.";2;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Auf der folgenden Seite  wird Mischung noch nach Baumartengruppen gegliedert abgefragt.";1;"keine";1;NA;NA;NA
"10";NA;"Baumartenmischung: Mischungsform I";"Mischungsform:  horstweise";"Form der Mischung - baumartenbezogene Mischung von Mischbaumarten in Relation zur Hauptbaumart.";2;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Auf der folgenden Seite  wird Mischung noch nach Baumartengruppen gegliedert abgefragt.";1,5;"keine";1;NA;NA;NA
