Merkmal;Beschreibung;Wertung_a;Ausprägung;Wertung;Hinweis
Baumarten (Hauptgruppen);Hauptgruppen in einem Bestand, unter Berücksichtigung der Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität;;Nadelholz;;Ist es möglich und wenn ja, wie sind die Hauptgruppen zu bewerten? Es folgt im Anschluss eine Einschätzung der Baumartengruppen sowie einzelner Baumarten.
Baumarten (Hauptgruppen);Hauptgruppen in einem Bestand, unter Berücksichtigung der Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität;;Laubholz;;Ist es möglich und wenn ja, wie sind die Hauptgruppen zu bewerten? Es folgt im Anschluss eine Einschätzung der Baumartengruppen sowie einzelner Baumarten.
Baumarten (Baumartengruppen);Baumartengruppen in einem Bestand, zusammengefasst nach ähnlichen technologischen Eigenschaften (BWI, RVR);;Eiche;;Wie sind die Baumartengruppen hinsichtlich Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität zu bewerten?
Baumarten (Baumartengruppen);Baumartengruppen in einem Bestand, zusammengefasst nach ähnlichen technologischen Eigenschaften (BWI, RVR);;Buche;;Wie sind die Baumartengruppen hinsichtlich Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität zu bewerten?
Baumarten (Baumartengruppen);Baumartengruppen in einem Bestand, zusammengefasst nach ähnlichen technologischen Eigenschaften (BWI, RVR);;Hartlaubholz (außer Buche und Eiche);;Wie sind die Baumartengruppen hinsichtlich Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität zu bewerten?
Baumarten (Baumartengruppen);Baumartengruppen in einem Bestand, zusammengefasst nach ähnlichen technologischen Eigenschaften (BWI, RVR);;Weichlaubholz;;Wie sind die Baumartengruppen hinsichtlich Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität zu bewerten?
Baumarten (Baumartengruppen);Baumartengruppen in einem Bestand, zusammengefasst nach ähnlichen technologischen Eigenschaften (BWI, RVR);;Fichte/Tanne;;Wie sind die Baumartengruppen hinsichtlich Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität zu bewerten?
Baumarten (Baumartengruppen);Baumartengruppen in einem Bestand, zusammengefasst nach ähnlichen technologischen Eigenschaften (BWI, RVR);;Douglasie;;Wie sind die Baumartengruppen hinsichtlich Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität zu bewerten?
Baumarten (Baumartengruppen);Baumartengruppen in einem Bestand, zusammengefasst nach ähnlichen technologischen Eigenschaften (BWI, RVR);;Kiefer;;Wie sind die Baumartengruppen hinsichtlich Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität zu bewerten?
Baumarten (Baumartengruppen);Baumartengruppen in einem Bestand, zusammengefasst nach ähnlichen technologischen Eigenschaften (BWI, RVR);;Lärche;;Wie sind die Baumartengruppen hinsichtlich Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität zu bewerten?
Baumarten  (Baumartengruppe 'Eiche');Baumarten in einem Bestand, unter Berücksichtigung der Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität (in Anlehnung an Aldinger und Michiels (2015) sowie Hertel (2009));;Traubeneiche TEI;;Wie sind die Baumarten innerhalb der Baumartengruppe 'Eiche'  zu bewerten? Das Baumartenspektrum bildet lediglich einen Teil der bestandesbildenden Haupt- und Nebenbaumarten ab. Sie können, wenn gewünscht Baumarten im Feld 'Ihre Anmerkungen' gern ergänzen und mit einer schriftlichen Bewertung versehen.
