Merkmal;Auspraegung;Beschreibung;Hinweis;erge;erg;unk
Baumarten (Hauptgruppen);Laubholz;Hauptgruppen in einem Bestand, unter Berücksichtigung der Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität;Ist es möglich und wenn ja, wie sind die Hauptgruppen zu bewerten? Es folgt im Anschluss eine Einschätzung der Baumartengruppen sowie einzelner Baumarten.;1;Keine;0
Baumarten (Hauptgruppen);Nadelholz;Hauptgruppen in einem Bestand, unter Berücksichtigung der Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität;Ist es möglich und wenn ja, wie sind die Hauptgruppen zu bewerten? Es folgt im Anschluss eine Einschätzung der Baumartengruppen sowie einzelner Baumarten.;2;Keine;0
Baumarten (Baumartengruppen);Buche;Baumartengruppen in einem Bestand, zusammengefasst nach ähnlichen technologischen Eigenschaften (BWI, RVR);Wie sind die Baumartengruppen hinsichtlich Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität zu bewerten?;1;Keine;0
Baumarten (Baumartengruppen);Douglasie;Baumartengruppen in einem Bestand, zusammengefasst nach ähnlichen technologischen Eigenschaften (BWI, RVR);Wie sind die Baumartengruppen hinsichtlich Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität zu bewerten?;1;Keine;0
Baumarten (Baumartengruppen);Eiche;Baumartengruppen in einem Bestand, zusammengefasst nach ähnlichen technologischen Eigenschaften (BWI, RVR);Wie sind die Baumartengruppen hinsichtlich Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität zu bewerten?;1;Keine;0
Baumarten (Baumartengruppen);Fichte/Tanne;Baumartengruppen in einem Bestand, zusammengefasst nach ähnlichen technologischen Eigenschaften (BWI, RVR);Wie sind die Baumartengruppen hinsichtlich Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität zu bewerten?;1;Keine;0
Baumarten (Baumartengruppen);Hartlaubholz (außer Buche und Eiche);Baumartengruppen in einem Bestand, zusammengefasst nach ähnlichen technologischen Eigenschaften (BWI, RVR);Wie sind die Baumartengruppen hinsichtlich Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität zu bewerten?;1;Keine;0
Baumarten (Baumartengruppen);Kiefer;Baumartengruppen in einem Bestand, zusammengefasst nach ähnlichen technologischen Eigenschaften (BWI, RVR);Wie sind die Baumartengruppen hinsichtlich Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität zu bewerten?;1;Keine;0
Baumarten (Baumartengruppen);Lärche;Baumartengruppen in einem Bestand, zusammengefasst nach ähnlichen technologischen Eigenschaften (BWI, RVR);Wie sind die Baumartengruppen hinsichtlich Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität zu bewerten?;1;Keine;0
Baumarten (Baumartengruppen);Weichlaubholz;Baumartengruppen in einem Bestand, zusammengefasst nach ähnlichen technologischen Eigenschaften (BWI, RVR);Wie sind die Baumartengruppen hinsichtlich Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität zu bewerten?;-2;Keine;1
Baumarten  (Baumartengruppe 'Buche');Hainbuche HBU;Baumarten in einem Bestand, unter Berücksichtigung der Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität (in Anlehnung an Aldinger und Michiels (2015) sowie Hertel (2009));Wie sind die Baumarten innerhalb der Baumartengruppe 'Buche' zu bewerten? Das Baumartenspektrum bildet lediglich einen Teil der bestandesbildenden Haupt- und Nebenbaumarten ab. Sie können, wenn gewünscht Baumarten im Feld 'Ihre Anmerkungen' gern ergänzen und mit einer schriftlichen Bewertung versehen.;-0,5;Keine;1
Baumarten  (Baumartengruppe 'Buche');Rotbuche BU;Baumarten in einem Bestand, unter Berücksichtigung der Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität (in Anlehnung an Aldinger und Michiels (2015) sowie Hertel (2009));Wie sind die Baumarten innerhalb der Baumartengruppe 'Buche' zu bewerten? Das Baumartenspektrum bildet lediglich einen Teil der bestandesbildenden Haupt- und Nebenbaumarten ab. Sie können, wenn gewünscht Baumarten im Feld 'Ihre Anmerkungen' gern ergänzen und mit einer schriftlichen Bewertung versehen.;1;Keine;0
Baumarten  (Baumartengruppe 'Douglasie');Douglasie DGL;Baumarten in einem Bestand, unter Berücksichtigung der Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität (in Anlehnung an Aldinger und Michiels (2015) sowie Hertel (2009));Wie sind die Baumarten innerhalb der Baumartengruppe 'Douglasie' zu bewerten? Das Baumartenspektrum bildet lediglich einen Teil der bestandesbildenden Haupt- und Nebenbaumarten ab. Sie können, wenn gewünscht Baumarten im Feld 'Ihre Anmerkungen' gern ergänzen und mit einer schriftlichen Bewertung versehen.;1;Keine;0
Baumarten  (Baumartengruppe 'Eiche');Eiche (spec.) EI;Baumarten in einem Bestand, unter Berücksichtigung der Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität (in Anlehnung an Aldinger und Michiels (2015) sowie Hertel (2009));Wie sind die Baumarten innerhalb der Baumartengruppe 'Eiche'  zu bewerten? Das Baumartenspektrum bildet lediglich einen Teil der bestandesbildenden Haupt- und Nebenbaumarten ab. Sie können, wenn gewünscht Baumarten im Feld 'Ihre Anmerkungen' gern ergänzen und mit einer schriftlichen Bewertung versehen.;NA;Keine;3
Baumarten  (Baumartengruppe 'Eiche');Roteiche REI;Baumarten in einem Bestand, unter Berücksichtigung der Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität (in Anlehnung an Aldinger und Michiels (2015) sowie Hertel (2009));Wie sind die Baumarten innerhalb der Baumartengruppe 'Eiche'  zu bewerten? Das Baumartenspektrum bildet lediglich einen Teil der bestandesbildenden Haupt- und Nebenbaumarten ab. Sie können, wenn gewünscht Baumarten im Feld 'Ihre Anmerkungen' gern ergänzen und mit einer schriftlichen Bewertung versehen.;1;Keine;0
Baumarten  (Baumartengruppe 'Eiche');Stieleiche SEI;Baumarten in einem Bestand, unter Berücksichtigung der Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität (in Anlehnung an Aldinger und Michiels (2015) sowie Hertel (2009));Wie sind die Baumarten innerhalb der Baumartengruppe 'Eiche'  zu bewerten? Das Baumartenspektrum bildet lediglich einen Teil der bestandesbildenden Haupt- und Nebenbaumarten ab. Sie können, wenn gewünscht Baumarten im Feld 'Ihre Anmerkungen' gern ergänzen und mit einer schriftlichen Bewertung versehen.;1;Keine;0
Baumarten  (Baumartengruppe 'Eiche');Traubeneiche TEI;Baumarten in einem Bestand, unter Berücksichtigung der Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität (in Anlehnung an Aldinger und Michiels (2015) sowie Hertel (2009));Wie sind die Baumarten innerhalb der Baumartengruppe 'Eiche'  zu bewerten? Das Baumartenspektrum bildet lediglich einen Teil der bestandesbildenden Haupt- und Nebenbaumarten ab. Sie können, wenn gewünscht Baumarten im Feld 'Ihre Anmerkungen' gern ergänzen und mit einer schriftlichen Bewertung versehen.;1;Keine;0
Baumarten  (Baumartengruppe 'Fichte/Tanne');Fichte (spec.) FI;Baumarten in einem Bestand, unter Berücksichtigung der Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität (in Anlehnung an Aldinger und Michiels (2015) sowie Hertel (2009));Wie sind die Baumarten innerhalb der Baumartengruppe 'Fichte/Tanne' zu bewerten? Das Baumartenspektrum bildet lediglich einen Teil der bestandesbildenden Haupt- und Nebenbaumarten ab. Sie können, wenn gewünscht Baumarten im Feld 'Ihre Anmerkungen' gern ergänzen und mit einer schriftlichen Bewertung versehen.;2;Keine;2
Baumarten  (Baumartengruppe 'Fichte/Tanne');Gemeine Fichte GFI;Baumarten in einem Bestand, unter Berücksichtigung der Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität (in Anlehnung an Aldinger und Michiels (2015) sowie Hertel (2009));Wie sind die Baumarten innerhalb der Baumartengruppe 'Fichte/Tanne' zu bewerten? Das Baumartenspektrum bildet lediglich einen Teil der bestandesbildenden Haupt- und Nebenbaumarten ab. Sie können, wenn gewünscht Baumarten im Feld 'Ihre Anmerkungen' gern ergänzen und mit einer schriftlichen Bewertung versehen.;1;Keine;0
Baumarten  (Baumartengruppe 'Fichte/Tanne');Küstentanne KTA;Baumarten in einem Bestand, unter Berücksichtigung der Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität (in Anlehnung an Aldinger und Michiels (2015) sowie Hertel (2009));Wie sind die Baumarten innerhalb der Baumartengruppe 'Fichte/Tanne' zu bewerten? Das Baumartenspektrum bildet lediglich einen Teil der bestandesbildenden Haupt- und Nebenbaumarten ab. Sie können, wenn gewünscht Baumarten im Feld 'Ihre Anmerkungen' gern ergänzen und mit einer schriftlichen Bewertung versehen.;0;Keine;0
Baumarten  (Baumartengruppe 'Fichte/Tanne');Omorikafichte OFI;Baumarten in einem Bestand, unter Berücksichtigung der Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität (in Anlehnung an Aldinger und Michiels (2015) sowie Hertel (2009));Wie sind die Baumarten innerhalb der Baumartengruppe 'Fichte/Tanne' zu bewerten? Das Baumartenspektrum bildet lediglich einen Teil der bestandesbildenden Haupt- und Nebenbaumarten ab. Sie können, wenn gewünscht Baumarten im Feld 'Ihre Anmerkungen' gern ergänzen und mit einer schriftlichen Bewertung versehen.;0;Keine;2
Baumarten  (Baumartengruppe 'Fichte/Tanne');Sitkafichte SFI;Baumarten in einem Bestand, unter Berücksichtigung der Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität (in Anlehnung an Aldinger und Michiels (2015) sowie Hertel (2009));Wie sind die Baumarten innerhalb der Baumartengruppe 'Fichte/Tanne' zu bewerten? Das Baumartenspektrum bildet lediglich einen Teil der bestandesbildenden Haupt- und Nebenbaumarten ab. Sie können, wenn gewünscht Baumarten im Feld 'Ihre Anmerkungen' gern ergänzen und mit einer schriftlichen Bewertung versehen.;-2;Keine;2
