Merkmalsgruppe;Median_Wertung;NA_Count;Kommentar;Auspraegung
Baumarten  (Baumartengruppe 'Buche');0;1;NA;Hainbuche HBU
Baumarten  (Baumartengruppe 'Buche');1;1;NA;Rotbuche BU
Baumarten  (Baumartengruppe 'Douglasie');1;1;NA;Douglasie DGL
Baumarten  (Baumartengruppe 'Eiche');0;1;NA;Eiche (spec.) EI
Baumarten  (Baumartengruppe 'Eiche');1;1;"NA; Vglw. geringere Standort- und Lichtansprüche";Roteiche REI
Baumarten  (Baumartengruppe 'Eiche');0;1;NA;Stieleiche SEI
Baumarten  (Baumartengruppe 'Eiche');0;1;NA;Traubeneiche TEI
Baumarten  (Baumartengruppe 'Fichte/Tanne');-2;1;NA;Fichte (spec.) FI
Baumarten  (Baumartengruppe 'Fichte/Tanne');-2;1;NA;Gemeine Fichte GFI
Baumarten  (Baumartengruppe 'Fichte/Tanne');1;1;NA;Küstentanne KTA
Baumarten  (Baumartengruppe 'Fichte/Tanne');NA;2;NA;Omorikafichte OFI
Baumarten  (Baumartengruppe 'Fichte/Tanne');-1;1;NA;Sitkafichte SFI
Baumarten  (Baumartengruppe 'Fichte/Tanne');1;1;NA;Tanne (spec.) TA
Baumarten  (Baumartengruppe 'Fichte/Tanne');1;1;"NA; stabilisierende Funktion";Weißtanne WTA
Baumarten  (Baumartengruppe 'Hartlaubholz');1;1;NA;Ahorn (spec.) AH
Baumarten  (Baumartengruppe 'Hartlaubholz');0;1;NA;Bergahorn BAH
Baumarten  (Baumartengruppe 'Hartlaubholz');0;1;NA;Bergulme BUL
Baumarten  (Baumartengruppe 'Hartlaubholz');1;1;NA;Elsbeere ELS
Baumarten  (Baumartengruppe 'Hartlaubholz');-2;1;NA;Esche (spec.) ES
Baumarten  (Baumartengruppe 'Hartlaubholz');1;1;NA;Kirsche (spec.) KIR
Baumarten  (Baumartengruppe 'Hartlaubholz');1;1;NA;Linde (spec.) LI
Baumarten  (Baumartengruppe 'Hartlaubholz');NA;2;NA;Nussbaum (spec.) NUS
Baumarten  (Baumartengruppe 'Hartlaubholz');0;1;NA;Robinie ROB
Baumarten  (Baumartengruppe 'Hartlaubholz');-2;1;NA;Rosskastanie RKA
Baumarten  (Baumartengruppe 'Hartlaubholz');1;1;NA;Sommerlinde SLI
Baumarten  (Baumartengruppe 'Hartlaubholz');0;1;NA;sonstiges Hartlaubholz SLBH
Baumarten  (Baumartengruppe 'Hartlaubholz');0;1;NA;Ulme (spec.) UL
Baumarten  (Baumartengruppe 'Kiefer');2;1;NA;Gemeine Kiefer KI
