link;mmg;mm;Merkmal;stra;stra_n;oek;biod;erh;waq
https://datashare.tu-dresden.de/s/aE4DgQj3paHyeje;Totholz;Totholzmenge ;Menge je ha - unter 5 rm ;1;1;0 ;-1,5 ;0 ;0 
https://datashare.tu-dresden.de/s/aE4DgQj3paHyeje;Totholz;Totholzmenge ;Menge je ha  - 5 bis 20 rm ;2;2;0 ;-1 ;0 ;0 
https://datashare.tu-dresden.de/s/aE4DgQj3paHyeje;Totholz;Totholzmenge ;Menge je ha  - 21 bis 40 rm ;3;3;0 ;1 ;-0,5 ;-0,5 
https://datashare.tu-dresden.de/s/aE4DgQj3paHyeje;Totholz;Totholzmenge ;Menge je ha  - 41 bis 60 rm ;4;4;-1 ;2 ;-0,5 ;-1 
https://datashare.tu-dresden.de/s/aE4DgQj3paHyeje;Totholz;Totholzmenge ;Menge je ha  - 61 bis 80 rm ;5;5;-2 ;2 ;-1 ;-1 
https://datashare.tu-dresden.de/s/aE4DgQj3paHyeje;Totholz;Totholzmenge ;Menge je ha - über 80 rm ;6;6;-2 ;2 ;-1 ;-2 
https://datashare.tu-dresden.de/s/aE4DgQj3paHyeje;Totholz;Totholzeigenschaft-Zersetzung ;Zersetzungsgrad - niedriger Zersetzungsgrad ;7;1;0 ;1 ;-1 ;1 
https://datashare.tu-dresden.de/s/aE4DgQj3paHyeje;Totholz;Totholzeigenschaft-Zersetzung ;Zersetzungsgrad - überwiegend niedriger Zersetzungsgrad ;8;2;0 ;2 ;-0,5 ;0,5 
https://datashare.tu-dresden.de/s/aE4DgQj3paHyeje;Totholz;Totholzeigenschaft-Zersetzung ;Zersetzungsgrad -überwiegend hoher Zersetzungsgrad ;9;3;0 ;2 ;1 ;-0,5 
https://datashare.tu-dresden.de/s/aE4DgQj3paHyeje;Totholz;Totholzeigenschaft-Zersetzung ;Zersetzungsgrad -hoher Zersetzungsgrad ;10;4;0 ;1 ;1 ;-1 
https://datashare.tu-dresden.de/s/aE4DgQj3paHyeje;Totholz;Totholzeigenschaft-Lagerung ;Lagerung - liegend ;11;1;0 ;1 ;0 ;-1 
https://datashare.tu-dresden.de/s/aE4DgQj3paHyeje;Totholz;Totholzeigenschaft-Lagerung ;Lagerung - überwiegend liegend ;12;2;0 ;2 ;0 ;-0,5 
https://datashare.tu-dresden.de/s/aE4DgQj3paHyeje;Totholz;Totholzeigenschaft-Lagerung ;Lagerung - stehend ;13;3;-1 ;1 ;0 ;1 
https://datashare.tu-dresden.de/s/aE4DgQj3paHyeje;Totholz;Totholzeigenschaft-Lagerung ;Lagerung - überwiegend stehend ;14;4;0 ;1,5 ;0 ;0,5 
https://datashare.tu-dresden.de/s/aE4DgQj3paHyeje;Totholz;Totholzeigenschaft-Art ;Art - Nadelholz ;15;1;0 ;0 ;-1 ;1 
https://datashare.tu-dresden.de/s/aE4DgQj3paHyeje;Totholz;Totholzeigenschaft-Art ;Art - überwiegend Nadelholz ;16;2;0 ;1 ;-0,5 ;0,5 
https://datashare.tu-dresden.de/s/aE4DgQj3paHyeje;Totholz;Totholzeigenschaft-Art ;Art - Laubholz ;17;3;0 ;1,5 ;0 ;-1 
https://datashare.tu-dresden.de/s/aE4DgQj3paHyeje;Totholz;Totholzeigenschaft-Art ;Art - überwiegend Laubholz ;18;4;0 ;2 ;0 ;-0,5 
https://datashare.tu-dresden.de/s/aE4DgQj3paHyeje;Totholz;Totholzeigenschaft-Diversität ;Totholzdiversität auf Betriebsebene - niedrig ;19;1;0 ;-1,5 ; ; 
https://datashare.tu-dresden.de/s/aE4DgQj3paHyeje;Totholz;Totholzeigenschaft-Diversität ;Totholzdiversität auf Betriebsebene - mittel ;20;2;0 ;0,5 ; ; 
https://datashare.tu-dresden.de/s/aE4DgQj3paHyeje;Totholz;Totholzeigenschaft-Diversität ;Totholzdiversität auf Betriebsebene - hoch ;21;3;0 ;1,5 ; ; 
https://datashare.tu-dresden.de/s/aE4DgQj3paHyeje;Verjüngung ;Verjüngung ;Verjüngung nicht vorhanden ;22;1;-1,5 ;0 ;0 ;-0,5 
https://datashare.tu-dresden.de/s/aE4DgQj3paHyeje;Verjüngung ;Verjüngung ;waldbaulich verwendbar ;23;2;1,5 ;1 ;0,5 ;1 
https://datashare.tu-dresden.de/s/aE4DgQj3paHyeje;Verjüngung ;Verjüngung ;nicht waldbaulich verwendbar ;24;3;-0,5 ;1 ;0,5 ;-2 
https://datashare.tu-dresden.de/s/aE4DgQj3paHyeje;Vertikale Struktur;Bestandesschichtung ;einschichtig ;25;1;-2 ;-2 ;-1 ;1 
