Merkmal;Beschreibung;Ausprägung;Wertung;Hinweis
Baumartenmischung: Mischungsart;Mischung von mehreren Baumarten in einem Bestand mit nennenswerten Anteilen. ;Reinbestand;1;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Auf der folgenden Seite wird Mischung noch detaillierter abgefragt.
Baumartenmischung: Mischungsart;Mischung von mehreren Baumarten in einem Bestand mit nennenswerten Anteilen. ;Mischbestand;1;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Auf der folgenden Seite wird Mischung noch detaillierter abgefragt.
Baumartenmischung: Mischungsform I;Form der Mischung - baumartenbezogene Mischung von Mischbaumarten in Relation zur Hauptbaumart.;Mischungsform: baumweise;2;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Auf der folgenden Seite  wird Mischung noch nach Baumartengruppen gegliedert abgefragt.
Baumartenmischung: Mischungsform I;Form der Mischung - baumartenbezogene Mischung von Mischbaumarten in Relation zur Hauptbaumart.;Mischungsform: truppweise;2;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Auf der folgenden Seite  wird Mischung noch nach Baumartengruppen gegliedert abgefragt.
Baumartenmischung: Mischungsform I;Form der Mischung - baumartenbezogene Mischung von Mischbaumarten in Relation zur Hauptbaumart.;Mischungsform:  gruppenweise;2;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Auf der folgenden Seite  wird Mischung noch nach Baumartengruppen gegliedert abgefragt.
Baumartenmischung: Mischungsform I;Form der Mischung - baumartenbezogene Mischung von Mischbaumarten in Relation zur Hauptbaumart.;Mischungsform:  horstweise;2;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Auf der folgenden Seite  wird Mischung noch nach Baumartengruppen gegliedert abgefragt.
Baumartenmischung: Mischungsform I;Form der Mischung - baumartenbezogene Mischung von Mischbaumarten in Relation zur Hauptbaumart.;Mischungsform:  reihen- oder streifenweise;2;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Auf der folgenden Seite  wird Mischung noch nach Baumartengruppen gegliedert abgefragt.
Baumartenmischung: Mischungsform II;Form der Mischung - Mischung von Baumartengruppen.;Nadelholzbestand mit einzeln beigemischten Laubbäumen.;3;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Nutzen Sie gerne die Anmerkungen, um beispielhafte Baumartenkombinationen zu beschreiben.
Baumartenmischung: Mischungsform II;Form der Mischung - Mischung von Baumartengruppen.;Nadelholzbestand mit flächig eingemischten Laubbäumen.;3;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Nutzen Sie gerne die Anmerkungen, um beispielhafte Baumartenkombinationen zu beschreiben.
Baumartenmischung: Mischungsform II;Form der Mischung - Mischung von Baumartengruppen.;Laubholzbestand mit einzeln beigemischten Nadelbäumen.;3;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Nutzen Sie gerne die Anmerkungen, um beispielhafte Baumartenkombinationen zu beschreiben.
Baumartenmischung: Mischungsform II;Form der Mischung - Mischung von Baumartengruppen.;Laubholzbestand mit flächig eingemischten Nadelbäumen.;3;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Nutzen Sie gerne die Anmerkungen, um beispielhafte Baumartenkombinationen zu beschreiben.
Baumarten I;Baumarten in einem Bestand, es ist z. B. relevant, ob überwiegend Fichten oder überwiegend Buchen vorkommen.;Nadelbaumarten;4;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Auf der folgenden Seite werden Baumartengruppen abgefragt. Nutzen Sie gerne die Anmerkungen.
Baumarten I;Baumarten in einem Bestand, es ist z. B. relevant, ob überwiegend Fichten oder überwiegend Buchen vorkommen.;Laubbaumarten;4;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Auf der folgenden Seite werden Baumartengruppen abgefragt. Nutzen Sie gerne die Anmerkungen.
Baumarten II;Gruppen von Baumarten, die aufgrund unterschiedlicher Eigenschaften bestimmte Wirkungen haben.;N-fixierende Baumarten;5;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Nutzen Sie gerne die Anmerkungen, um bestimmte Baumarten hervorzuheben.
Baumarten II;Gruppen von Baumarten, die aufgrund unterschiedlicher Eigenschaften bestimmte Wirkungen haben.;Bodenpflegliche Laubbaumarten (Streu), z. B. Bergahorn.;5;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Nutzen Sie gerne die Anmerkungen, um bestimmte Baumarten hervorzuheben.
Baumarten II;Gruppen von Baumarten, die aufgrund unterschiedlicher Eigenschaften bestimmte Wirkungen haben.;Bodenpflegliche Nadelbaumarten (Streu), z.B. Weißtanne. ;5;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Nutzen Sie gerne die Anmerkungen, um bestimmte Baumarten hervorzuheben.
Baumarten II;Gruppen von Baumarten, die aufgrund unterschiedlicher Eigenschaften bestimmte Wirkungen haben.;Nicht bodenpflegliche Laubbaumarten (Streu), z. B. Roteiche.;5;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Nutzen Sie gerne die Anmerkungen, um bestimmte Baumarten hervorzuheben.
Baumarten II;Gruppen von Baumarten, die aufgrund unterschiedlicher Eigenschaften bestimmte Wirkungen haben.;Nicht bodenpflegliche Nadelbaumarten (Streu), z. B. Waldkiefer.;5;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Nutzen Sie gerne die Anmerkungen, um bestimmte Baumarten hervorzuheben.
Baumarten II;Gruppen von Baumarten, die aufgrund unterschiedlicher Eigenschaften bestimmte Wirkungen haben.;Tief u.o. intensiv wurzelnde Baumarten, z.B. Eichen, Weißtanne. ;5;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Nutzen Sie gerne die Anmerkungen, um bestimmte Baumarten hervorzuheben.
