"as.factor(Merkmal)";"Median_Wertung";"NA_Count";"Kommentar";"Auspraegung"
"Baumarten II";1;0;"weniger Wasserrückhalt in Humusauflage; NA; gute Streu bedeutet engeres C/N-verhältnis, bedeutet aktive Humusform, bedeutet geringe Auslagenmächtigkeit, bedeutet geringere Hydrophobie: Bei plötzlichen Starkniederschlägen ist die Gefahr von oberflächlichem Abluss deshalb geringer";"Bodenpflegliche Laubbaumarten (Streu), z. B. Bergahorn."
"Baumarten II";1;0;"weniger Wasserrückhalt in Humusauflage; NA; im Unterschied zu oben \"nur einfach\" positiv, weil unter den heimischen Nadelbaumarten lediglich die Weißtanne diese Eigenschaft aufweist. Und sie hat in der regel nur geringere Mischungsanteile (auch von Natur aus).";"Bodenpflegliche Nadelbaumarten (Streu), z.B. Weißtanne."
"Begleitvegetation";0;0;"höhere Interzeption als ohne Begleitvegetation; NA; Begründung analog den Gräsern";"Deckungsgrad Adlerfarn - bis 25%"
"Begleitvegetation";-2;0;"höhere Interzeption als ohne Begleitvegetation; NA";"Deckungsgrad Adlerfarn - über 25% bis 50 %"
"Begleitvegetation";-2;0;"höhere Interzeption als ohne Begleitvegetation; NA";"Deckungsgrad Adlerfarn - über 50% bis 75%"
"Begleitvegetation";-1;0;"höhere Interzeption als ohne Begleitvegetation; NA";"Deckungsgrad Adlerfarn - über 75%"
"Begleitvegetation";0;0;"höhere Interzeption als ohne Begleitvegetation; NA; Kräuter meist bodenpfleglich, gute Mineralisierung, geringe Auflagenmächtigkeit, wenig Hydrophobie, geringer Oberflächenabfluss";"Deckungsgrad auff. blühende krautige Pflanzen - bis 25%"
"Begleitvegetation";-2;0;"höhere Interzeption als ohne Begleitvegetation; NA";"Deckungsgrad auff. blühende krautige Pflanzen - über 25% bis 50%"
"Begleitvegetation";-2;0;"höhere Interzeption als ohne Begleitvegetation; NA";"Deckungsgrad auff. blühende krautige Pflanzen - über 50% bis 75%"
"Begleitvegetation";-2;0;"höhere Interzeption als ohne Begleitvegetation; NA; bei sehr hohen Deckungsgraden haben während der Vegetationsperiode auch sommergrüne Kräuter eine zunehmend hohe Interzeption";"Deckungsgrad auff. blühende krautigePflanzen - über 75%"
"Begleitvegetation";0;0;"höhere Interzeption als ohne Begleitvegetation; NA; Begründung analog den Kräutern (Nitrophyten per se bestens mineralisierbar)";"Deckungsgrad Brombeere - bis 25%"
